userId,Profit,Bet Count
vlEnaVAH2PhWt73OB7SN6Havo1z2,88.66998332682806,13
O2Je9CWGdcQ8KZm39fbi57RdNW82,86.63372353123145,8
Ei25IcBupKNtPQ9v9tk66G7NlKG2,86.43093285919508,1
tbZZik407GZ7Q7hSBLGF2pkdPBn1,85.93498982127608,1
My6KDP0vk9UCh8gJFK0CDuDkNbt1,83.64699090372847,6
xU2ZctP8SWMonX9aB0CShzOVGme2,83.04520210969912,14
5QYLEQv9jDRBU2AWIiwnHDQ0zft2,82.43689555520677,15
KnnpgxsVTUTcGzRYGOfdmIpQDKY2,81.79253008337736,1
9vmZfhvFkUXhQSmQiACFSGEjT9I3,80.1613990779179,2
GhQ9NLDIuSdcfcZLNNxZuVYdEcF3,79.2337736168912,17
97v6u9x97hbynstr5UhohymthAI2,79.05696243488342,15
cMYn4UT2bQctv87cFIfVHV1nwG12,78.18324309033167,2
xhrI9Vt2CGQnpcHvv8qz8wxBdqP2,76.8197556527856,4
rpwxLcbVXscwHqsQGCHWrb444vE2,71.7652355525338,4
6dqnbHEZPEcr3Xa9k5YxbRCZJTz2,70.19636677754465,5
Gbx1dOADaiM8oWsi6ejLdUmOe993,68.72152361452117,1
1YoJK1EoJ2bkOX8gpMfbSTUtGWa2,68.56794746224911,3
ef5jbbkzPJfvrV9RvFcjaoHfhJ02,67.76657764308882,6
8mDW8SctP0TasmqaAzEaANsuMzU2,67.20420727006615,6
3l0iuBKkDVeb6N0zVJ66GDjjvSX2,67.17400479545904,2
HXPQicBZfzS75APhj5w9O84KB9z2,67.11339351670563,16
QJTc7jTZM6V0p8e2KfnySNhSIP42,66.79439562542007,1
eiRUqck5lCTs0cP0HYirp6jqckq1,65.1641754125892,22
AAqX8OkXdRRmiAIuxJHlPoSVkDt2,64.76004680263213,143
Ogys5Kg8LkaukAmMbY4l5bndhPi2,63.135657575021696,2
v5Z9TLRrN7QALiKu8swwH5px7ci1,61.28921482565198,1
SFYxz6qQi9V7WCWE5CocjIADEVk1,59.72753977419438,5
IzvIimHGFLT3fjtL17ppW1ePepI3,57.38812849407282,3
eDk3GDrBAcXICI4awyjnCFVnHxR2,56.88824200630006,106
3X3Dl2Vo1yQcVts36im7RJWrio82,55.29040955486113,36
JJS48BCR3HWYsU0MO98MPYvnZfL2,55.28662011637266,21
vD5Tpoba2matbKWB3xlLxLU5nzE2,55.13282498002957,58
Lt6Nnq5UE3XQO5z7mZYFhLHJXAN2,54.91680751657282,1
nw7kpYgaFSPW2hPkFBGEskDOTsS2,54.642388964340945,10
2NFQWYaxNIVL6LnaHuHr8GJ1fxo1,54.49748715024725,23
naGNKGX7UChoKtDyw2PNgr6xbQL2,54.4368991405853,90
0PhFHty5tvN3Q7VQDrCsa9LvZiu1,54.366443766136854,77
XrsNIKHENXd7UPgKdeMN0oe3dMJ2,54.326901238559344,3
N5qukwcDuyfgG8I7QOVjUqCXPSq1,54.1283567435506,2
VKn9ky1Uy0Zqu9IYXfYnoowpCuF3,52.933008776650695,11
QnG54MAEaJWdO5GVrV5FGMcZhdv1,51.98132578066247,2
mfeJfRvoo4aVP7ZhVW1hZbf5V5h2,51.513821541236666,15
zSsW93FRECd34M7LBiTBQrijX5i1,51.45289000553754,5
lCo72Rw3zCZrl2EdFTsBYlTXegI3,50.99693919645168,1
SsgiwPoSNWa49X6eGeOYfT7MIgi1,50.95245593182881,33
KfMGZS42l7aY72zFiHtBex76Z6f1,50.9121395176453,1
wpkiq8QpSMR8B4AmXqwddedd0xY2,50.464113779995046,20
peTEkDpf7db95osfaWnkKHSuWEM2,49.98540231869197,45
CTgjOgOzxfW5qI1UDmT8JBTSLYT2,49.69546136378426,3
OHjEuxlRW2STmI5zxzhUDgbC9MG2,49.2196375856056,83
mTbnivHtSGSYw09V8GqvJCLgjap1,48.61534895911768,96
guxSGcowJdeXZiLXeTlv7c7QOGt1,47.93419588563188,8
Mj4UhLLzXAQqCfbHDqFCHlb7XtN2,47.286283176599454,17
1G38dO9QCQM0FrFnfu5ZSLa08LT2,45.86913782602187,1
AN2hUjxqQUOqtg3dJFVWRDBLGoy2,45.300639759426076,4
q33Q71SQJXM1nsf33eCMd0ycgkM2,44.137955847008925,28
eyELQRf4ptQgsEZoODuyqVXiB7t2,43.11039698949094,27
78lDu0sPMPfEMoePaZiOQ5cqZIF2,42.965769891337914,12
1R2MCsk4oFWI9s7k4g2LuAP62Tt1,42.27144659740179,1
Tr1JG0TMgqMagIXYDWCs8TasZ122,41.23911848874752,9
yoRC8Fon5dN1Djz7vfJwhFZXTL52,40.161091558277974,1
WdusJ3sUxyYaYRtj9L4wFylzbsB2,38.493930043292494,5
kCA6fBZDjJPJZWh3Z9Gc8LtZBC42,38.223252417539925,3
sldHJekBNpZmg7yL4uMyYhVsUYL2,38.018805628164046,1
z3jIgGOKynStuNKC1PqYd3T2Jwe2,37.93154717093444,28
dSslvpM0b6PMWDRzRjAwtYdrf3E2,37.595507639618745,25
ixP5ZDTQKWPRmIT3r0wuPpW8eU42,37.51955375267276,5
C4bYIjBQb6YSAhtVOW2cBZezZVm2,36.940425026883986,4
Nu5r7194AzWUU1UTIMrs0ZRmcQO2,36.800909302580465,32
gLLLnKKabKQCoIVv416ARJenMz73,36.64093274873187,1
dIR7QoeAyudM8rCB4yknt3e8qjv1,36.32088461411854,6
IiZndRjvVeRhT8LleNXjolzSJZg1,35.63195573729698,2
ctIdXbx87nVnQzUKJq6fmU5VnEW2,34.65854193972882,236
hYF0gLBqt5TBRb4XwBTx9YitXki1,32.470879566428266,6
3NcFK7gZ5rf8XQAGfL0FcIW3xfD3,32.233587829548014,8
NgjOT31WsOOSeVAYNrmIyhPi3vG3,31.68661946966313,1
1TCUB70zV0ceJDAAP1ZV2Q9Fb4j1,31.385039995795864,68
RTy7IWlwhOMMe5QM0zMG0I7Esy52,31.370943648632192,17
sJRgteFGjHb7lHw3SiYsMvgxquS2,31.207359304426404,7
RNUv7RCMCmaAkqNO64wYzaa3KT63,30.437309669386877,1
5GtCS0DVmFeINl687uCOlaf48bB2,30.39226563228624,2
6WHTZ6NSGqS9DY8oJCdguCCpJUC3,29.220227079795222,16
1q8quLiBIjVFyeghVCUWX1goROi2,29.1852365359116,1
b0IJRfgEAgfzBmDrwFhZIkWSMJp2,28.45521703018767,1
3gt9fDXx5QTaah1wbHAsGtWGdlF3,28.205128205128204,1
iVrByC8hYpgjJctwCzdufVfbKUy1,28.145570074231387,40
5vu7EXTyEaQQKIAF8pxeJAZHV9m1,24.96480209148467,17
UnS9k3AwOtfsHg4zOzgW7O1GDVh1,23.827078311219566,1
DeWbfcag5BeRnh9e3Om1RsyjVKP2,23.311055466891702,12
dQcwP3egskTAKtnTDMDamL8Wjn63,23.216514859673907,5
X0nk80lFaeP54YT8Ygui0zUHelA2,22.943634934277497,96
Jt6KhZpwXANUXYwSFLQYJKb5mcK2,22.572116346975918,21
Xx2A0P6uSRUyKlxoSjYXa2SrnI72,22.54561402368779,1
PM3oohlMB3PknHxdH8IFA0GITq12,21.95953625297662,10
hpZx2E6PVJPMQQYbVYq3iQnNNJD3,21.826720201145008,2
e9Wl7Xaz9be8wGtCtp9xK9dP1A82,20.278079911416967,31
PqEW8Nt2mbcp0KeiMmBLTLamV1K3,19.70263567905272,3
btL6axrXVqeBu0AIU8fBAq2gBzk2,19.365748770941366,3
Zpe86JkuPnVb8rxu3RTGE8prsWH2,18.8965823254388,15
zzCptt3MiBdiCpYY626Y4NUAasa2,18.878620016533432,18
fhturHsXYcV1dmDlm1AkvWGsel72,18.728693276680985,3
8I6QMdFJjqP28FvbldtAB6QlRXD3,18.231877059174252,6
tiHX0Dpd8GgIx8GERBfC6TlxGjD2,18.16170072406817,39
1nXK6A30rsXlErsQhzS9obE7PqL2,17.06577647771752,12
rdv6zTfV8SSEAfbuBy1DaAzCZZs1,16.61318713060382,1
ELHUFAgjx1cKeIxZoqGClq7eGv12,16.324087449378183,2
MfFVehbBp5ayy9SmpEEelOMLcKp1,16.116963592642563,8
me17wCvKO8MJaT7PaClJiJjZSSo1,16.075748554263896,7
Jhi62efOrnRrmK14eOLBbrLn5Oz1,15.962110730840777,2
